id,cabinet,party,pm,defector,party_id_source,data_source,description,comment,data_json
253,498,794,1,0,PCP Conservatives,,,,
254,739,794,1,0,PCP Conservatives,,,,
255,704,794,1,0,PCP Conservatives,,,,
256,785,368,1,0,lib LP Liberals,,,,
257,182,368,1,0,lib LP Liberals,,,,
258,55,368,1,0,lib LP Liberals,,,,
259,103,368,1,0,lib LP Liberals,,,,
264,645,1575,1,0,disy,,,,
265,645,851,0,0,diko,,,,
266,645,1071,0,0,ind,,,,
267,731,945,0,0,edek,,,,
268,731,1575,1,0,disy,,,,
269,731,851,0,0,diko,,,,
270,731,1151,0,0,lp,,,,
271,342,572,0,0,akel,,,,
272,342,945,0,0,kisos,,,,
273,342,851,1,0,diko,,,,
274,262,743,1,0,of,sonntag,,,
275,165,1123,0,0,oda,sonntag,,,
276,165,1245,0,0,kdu,sonntag,,,
277,165,829,1,0,ods,sonntag,,,
278,136,1123,0,1,oda,ap,"Civic Democratic Alliance (ODA) withdrew from cabinet on 29 November 1997, following the Christian Democrats (KDU), over a campaign finance scandal.",,
279,136,1245,0,1,kdu,ap,Christian Democrats (KDU) withdrew from cabinet on 28 November 1997 over a campaign finance scandal.,,
280,136,829,1,0,ods,ap,,,
281,76,1123,0,0,ODA,reuters,,,
282,76,688,0,0,Resigned from the ODS,reuters,,,
283,76,1245,0,0,KDU-CSL,reuters,,,
284,443,789,1,0,cssd,reuters,,,
285,504,789,1,0,CSSD,afp,,,
286,504,688,0,0,US- DEU,afp,,,
287,504,1245,0,0,KDU-CSL,afp,,,
288,580,789,1,0,cssd,,,,
289,580,688,0,0,us-deu,,,,
290,580,1245,0,1,kdu,,"Christian Democrats (KDU/CSL) pulled out of government on 30 March 2005. Previously, they demanded the resignation of PM Gross.",,
291,15,789,1,0,CSSD,afp,,,
292,15,688,0,0,US-DEU,afp,,,
293,15,1245,0,0,KDU-CSL,afp,,,
294,10,1239,0,0,DKP Communists,,,,
295,10,1629,1,0,s SD Social Democrats,,,,
296,10,211,0,0,RV Radicals,,,,
297,10,1605,0,0,V Liberals,,,,
298,10,590,0,0,KF Conservatives,,,,
299,10,412,0,0,Dani ds sh Union,,,,
300,387,1605,1,0,Lib,nyt,,,
301,408,1629,1,0,SD,mueller,,,
302,36,1605,1,0,Lib,mueller,,,
303,853,1629,1,0,SD,mueller,,,
304,359,1605,1,0,Lib,mueller,,,
305,218,1629,1,0,SD,mueller,,,
306,51,1629,1,0,SD,mueller,,,
307,51,211,0,0,RL,mueller,,,
308,51,1606,0,0,JP,mueller,,,
309,467,1629,1,0,SD,mueller,,,
310,467,211,0,0,RL,mueller,,,
311,467,1606,0,0,JP,mueller,,,
312,456,1629,1,0,SD,mueller,,,
313,456,211,0,0,RL,mueller,,,
314,841,1629,1,0,SD,mueller,,,
315,841,211,0,0,RL,mueller,,,
316,660,1629,1,0,Socialdemokratiet,folketing,,,
317,596,211,1,0,Det Radikale Venstre,folketing,,,
318,596,1605,0,0,Venstre,folketing,,,
319,596,590,0,0,Det Konservative Folkeparti,folketing,,,
320,345,1629,1,0,SD,mueller,,,
321,320,1629,1,0,SD,mueller,,,
322,744,1605,1,0,Lib,mueller,,,
323,50,1629,1,0,Socialdemokratiet,folketing,,,
324,824,1629,1,0,SD,mueller,,,
325,824,1605,0,0,Lib,mueller,,,
326,379,1629,1,0,Socialdemokratiet,folketing,,,
327,275,1629,1,0,SD,mueller,,,
328,819,1324,0,0,CD,mueller,,,
329,819,1605,0,0,Lib,mueller,,,
330,819,1331,0,0,CPP,mueller,,,
331,819,590,1,0,Con,mueller,,,
332,837,1324,0,0,CD,mueller,,,
333,837,1605,0,0,Lib,mueller,,,
334,837,1331,0,0,CPP,mueller,,,
335,837,590,1,0,Con,mueller,,,
336,57,211,0,0,RL,mueller,,,
337,57,1605,0,0,Lib,mueller,,,
338,57,590,1,0,Con,mueller,,,
339,11,1605,0,0,Lib,mueller,,,
340,11,590,1,0,Con,mueller,,,
341,740,1629,1,0,SD,mueller,,,
342,740,1324,0,0,CD,mueller,,,
343,740,211,0,0,RL,mueller,,,
344,740,1331,0,0,CPP,mueller,,,
345,189,1629,1,0,SD,reuters,,,
346,189,1324,0,1,CD,reuters,Centre Democrats (CD) announced on 20 December 1996 to leave the cabinet over the increased dependence of the cabinet on far left party support but to keep supporting it. The party's ministers resigned on 30 December.,,
347,189,211,0,0,RL,reuters,,,
348,255,1629,1,0,SD,reuters,,,
349,255,211,0,0,RL,reuters,,,
350,630,1629,1,0,SD,mueller,,,
351,630,211,0,0,RL,mueller,,,
352,482,1605,1,0,V Liberal Party,ejpr,,,
353,482,590,0,0,KF Conservative People's Party,ejpr,,,
354,316,1605,1,0,V Liberal Party,ejpr,,,
355,316,590,0,0,KF Conservative People's Party,ejpr,,,
356,564,1448,0,1,Moderates,reuters,,,
357,564,552,0,1,National Independence Party,reuters,,,
358,564,243,1,0,Fatherland,reuters,,,
359,4,1448,1,0,Mööd,,,,
360,4,552,0,0,ersp,,,,
361,4,243,0,0,Isamaa,,,,
362,4,1395,0,0,Parempool,,,,
363,604,1137,0,0,Eesti Keskerakond,berg-19,,,
364,530,486,1,0,KMU,mue-rom,,,
365,530,113,0,0,r,,,,
366,271,486,1,0,KMU,mue-rom,,,
367,303,486,1,0,KMU,mue-rom,,,
368,480,1448,0,0,Mööd,,,,
369,480,113,0,0,RE,mue-rom,,,
370,480,846,1,0,Isam,,,,
371,152,1137,0,0,k,,,,
372,152,113,1,0,r,,,,
373,138,113,0,0,r,,,,
374,138,428,1,0,rp,,,,
375,138,417,0,0,rl,,,,
376,274,1137,0,0,k,,,,
377,274,113,1,0,r,,,,
378,274,417,0,0,rl,,,,
379,815,1292,0,0,SKDL Peoples Democratic Union,,,,
380,815,395,0,0,SDP SSDP Social Democrats,,,,
381,815,1219,0,0,ED LKP Liberals,,,,
382,815,94,0,0,ML SK Finnish Centre,,,,
383,815,585,0,0,RKP SFP Swedish Peoples Party,,,,
384,125,1292,1,0,SKDL Peoples Democratic Union,,,,
385,125,395,0,0,SDP SSDP Social Democrats,,,,
386,125,94,0,0,ML SK Finnish Centre,,,,
387,125,585,0,0,RKP SFP Swedish Peoples Party,,,,
388,78,395,1,0,SDP SSDP Social Democrats,,,,
389,872,1219,0,0,ED LKP Liberals,,,,
390,872,94,1,0,ML SK Finnish Centre,,,,
391,872,585,0,0,RKP SFP Swedish Peoples Party,,,,
392,639,395,0,0,SDP,valt,,,
393,639,1219,0,0,Edistyspuolue,valt,,,
394,639,94,1,0,Maalaisliitto,valt,,,
395,200,395,0,0,SDP SSDP Social Democrats,,,,
396,200,94,1,0,ML SK Finnish Centre,,,,
397,200,585,0,0,RKP SFP Swedish Peoples Party,,,,
398,232,94,1,0,ML SK Finnish Centre,,,,
399,232,585,0,0,RKP SFP Swedish Peoples Party,,,,
400,738,1219,1,0,Suomen Kansanpuolue,valt,,,
401,738,1118,0,0,Kokoomus,valt,,,
402,738,94,0,0,SK Finnish Centre,,,,
403,738,585,0,0,RKP,valt,,,
404,161,395,0,0,SDP SSDP Social Democrats,,,,
405,161,94,0,0,ML SK Finnish Centre,,,,
406,161,585,1,0,RKP SFP Swedish Peoples Party,,,,
407,685,395,0,0,SDP SSDP Social Democrats,,,,
408,685,94,1,0,ML SK Finnish Centre,,,,
409,373,395,1,0,SDP,valt,,,
410,373,94,0,0,Maalaisliitto,valt,,,
411,373,585,0,0,RKP,valt,,,
412,747,1219,0,0,LIB,mueller,,,
413,747,94,1,0,CE,mueller,,,
414,747,585,0,1,SPp,nyt,Swedish People's Party (RKP-SFP) ministers resigned on 2 July 1957 objecting delays in the government's economic stabilization program.,,
415,552,395,1,0,SDP,valt,,,
416,552,1118,0,0,Kokoomus,valt,,,
417,552,94,0,1,Maalaisliitto,"nyt, valt",Agrarian Union (Maal) ministers resigned on 27 November 1958 over disagreement on policy towards the Soviet Union.,,
418,552,585,0,0,RKP,valt,,,
419,230,94,1,0,Maalaisliitto,valt,,,
420,230,585,0,0,RKP,"nyt, valt",Minister of Foreign Affairs Johan Törngren (RKP-SFP) served as a private person in cabinet.,The party is coded at government.fi but not in Müller/Strøm (2000).,"{""party_support"": false}"
421,598,94,1,0,Maalaisliitto,valt,,,
422,764,1108,0,1,TPSL,"nyt, valt",All three Social Democratic (TPSL) ministers resigned on 18 October 1963. ,,
423,764,1118,0,0,Kokoomus,valt,,,
424,764,94,1,0,Maalaisliitto,valt,,,
425,764,585,0,1,RKP,valt,Swedish People's Party (RKP-SFP) opposed income and property tax increases leading to the end of the cabinet in December 1963.,,
426,139,1118,0,0,Kokoomus,valt,,,
427,139,94,1,0,Keskusta,valt,,,
428,139,585,0,0,RKP,valt,,,
429,339,1292,0,0,SKDL Peoples Democratic Union,,,,
430,339,395,1,0,SDP SSDP Social Democrats,,,,
431,339,1108,0,0,TPSL Social Democratic League,,,,
432,339,94,0,0,Kesk. SK Finnish Centre,,,,
433,203,1292,0,0,SKDL Peoples Democratic Union,,,,
434,203,395,1,0,SDP SSDP Social Democrats,,,,
435,203,1108,0,0,TPSL Social Democratic League,,,,
436,203,94,0,0,Kesk. SK Finnish Centre,,,,
437,203,585,0,0,RKP SFP Swedish Peoples Party,,,,
438,115,1292,0,1,SKDL,"keesings, valt",Democratic Union (SKDL) MPs refused to vote for a bill involvinhg price control relaxation on 17 March 1971 but the three SKDL ministers did not offer to resign.,,
439,115,395,0,0,SDP,valt,,,
440,115,1219,0,0,Liberaalinen kansanpuolue,valt,,,
441,115,94,1,0,Keskusta,valt,,,
442,115,585,0,0,RKP,valt,,,
443,618,395,1,0,SDP SSDP Social Democrats,,,,
444,769,395,1,0,SDP SSDP Social Democrats,,,,
445,769,1219,0,0,LKP Liberals,,,,
446,769,94,0,0,Kesk. SK Finnish Centre,,,,
447,769,585,0,0,RKP SFP Swedish Peoples Party,,,,
448,476,1292,0,0,SKDL Peoples Democratic Union,,,,
449,476,395,0,0,SDP SSDP Social Democrats,,,,
450,476,1219,0,0,LKP Liberals,,,,
451,476,94,1,0,Kesk. SK Finnish Centre,,,,
452,476,585,0,0,RKP SFP Swedish Peoples Party,,,,
453,848,1219,0,0,LKP Liberals,,,,
454,848,94,1,0,Kesk. SK Finnish Centre,,,,
455,848,585,0,0,RKP SFP Swedish Peoples Party,,,,
456,466,1292,0,0,SKDL,valt,,,
457,466,395,1,0,SDP,valt,,,
458,466,1219,0,0,LKP,valt,,,
459,466,94,0,0,Keskusta,valt,,,
460,466,585,0,0,RKP,valt,,,
461,776,1292,0,0,SKDL,valt,,,
462,776,395,1,0,SDP,valt,,,
463,776,94,0,0,Keskusta,valt,,,
464,776,585,0,0,RKP,valt,,,
465,378,1292,0,1,SKDL,"nyt, valt",Democratic Union (SKDL) withdrew on 30 December 1982 over a bill to increase defense spending.,,
466,378,395,1,0,SDP,valt,,,
467,378,94,0,0,Keskusta,valt,,,
468,378,585,0,0,RKP,valt,,,
469,650,395,1,0,SDP SSDP Social Democrats,,,,
470,650,94,0,0,Kesk. SK Finnish Centre,,,,
471,650,200,0,0,SMP Rural Party,,,,
472,650,585,0,0,RKP SFP Swedish Peoples Party,,,,
473,614,395,0,0,SDP,valt,,,
474,614,1118,1,0,Kokoomus,valt,,,
475,614,200,0,0,SMP,valt,,,
476,614,585,0,0,RKP,valt,,,
477,831,1463,0,1,SMP,"ejpr, valt",Christian League (SKL) minister Toimi Kankaanniemi resigned on 20 June 1994 in opposition to the EU membership agreement.,,
478,831,1118,0,0,Kokoomus,valt,,,
479,831,94,1,0,Kesk. SK Finnish Centre,,,,
480,831,585,0,0,RKP,,,,
481,100,1062,0,0,Vihreät,,,,
482,100,395,1,0,SDP,valt,,,
483,100,1118,0,0,Kokoomus,valt,,,
484,100,585,0,0,RKP,valt,,,
485,352,1062,0,1,Vihreät,"reuters, valt",Greens (VIHR) party group decided to resign from the cabinet opposing plans to build a new nuclear power plant.,,
486,352,1292,0,0,Vasemmistoliitto,valt,,,
487,352,395,1,0,SDP,valt,,,
488,352,1118,0,0,Kokoomus,valt,,,
489,352,585,0,0,RKP,valt,,,
490,877,395,0,0,SDP,valt,,,
491,877,94,1,0,Keskusta,valt,,,
492,877,585,0,0,RKP,valt,,,
493,759,395,0,0,SDP,valt,,,
494,759,94,1,0,Keskusta,valt,,,
495,759,585,0,0,RKP,valt,,,
496,329,686,0,0,communistes,be-70,,,
497,329,1539,0,0,SFIO PS Socialists,,,,
498,329,401,0,0,RAD RRRS Radical Socialists,,,,
499,329,1086,0,0,MRP Popular Republicans,,,,
500,329,1094,0,0,UDSR Gaullistes,,,,
501,329,1297,0,0,RI Conservatives,,,,
502,411,686,0,0,communistes,be-70,,,
503,411,1539,0,0,S.F.I.O.,be-70,,,
504,411,401,0,0,"rad. soc., U.D.S.R.",be-70,,,
505,411,1086,0,0,M.R.P.,be-70,,,
507,648,686,0,0,Commun.,be-70,,,
508,648,1539,1,0,S.F.I.O.,be-70,,,
509,648,1086,0,0,M.R.P.,be-70,,,
510,150,686,0,0,Commun.,be-70,,,
511,150,1539,0,0,S.F.I.O.,be-70,,,
512,150,1086,1,0,M.R.P.,be-70,,,
513,52,1539,1,0,S.F.I.O.,be-70,,,
514,330,686,0,0,Commun.,be-70,,,
515,330,1539,1,0,S.F.I.O.,be-70,,,
516,330,890,0,0,"rad. soc., U.D.S.R.",be-70,,,
517,330,1086,0,0,M.R.P.,be-70,,,
524,753,1539,0,0,S.F.I.O.,be-70,,,
525,753,890,0,0,"rad. soc., U.D.S.R.",be-70,,,
526,753,1086,1,0,M.R.P.,be-70,,,
528,753,1297,0,0,soc. indép.,be-70,,,
529,263,1539,0,0,SFIO PS Socialists,,,,
530,263,401,1,0,RAD RRRS Radical Socialists,,,,
531,263,1086,0,0,MRP Popular Republicans,,,,
532,263,1297,0,0,RI Conservatives,,,,
533,363,1539,0,0,SFIO PS Socialists,,,,
534,363,890,0,0,"rad. soc., U.D.S.R.",be-70,,,
535,363,1086,1,0,M.R.P.,be-70,,,
537,363,1297,0,0,indép. rép.,be-70,,,
541,636,1539,0,0,SFIO ,pa-84,,,
542,636,401,0,0,Radical Soc. P.,pa-84,,,
543,636,1086,1,0,MRP,pa-84,,,
545,636,1297,0,0,Indep. ,pa-84,,,
546,758,401,0,0,Radical Soc. P.,pa-84,,,
547,758,1086,1,0,MRP,pa-84,,,
549,758,1297,0,0,Indep.,pa-84,,,
551,367,401,0,0,Radical Soc. P.,pa-84,,,
552,367,1086,0,0,MRP,pa-84,,,
555,104,1539,0,0,SFIO ,pa-84,,,
556,104,401,1,0,Radical Soc. P.,pa-84,,,
557,104,1086,0,0,MRP,pa-84,,,
559,104,1297,0,0,Indep.,pa-84,,,
561,826,1086,0,0,MRP,pa-84,,,
562,826,401,0,0,Radical Soc. P.,pa-84,,,
564,32,401,1,0,Radical Soc. P.,pa-84,,,
565,32,1086,0,0,MRP ,pa-84,,,
