type,title,author,country,content,date,id
112,EP turnout data completed,hd,,"We completed the coding of turnout data for all elections to the European Parliament. In ParlGov, some countries are coded at the vote level others at the seat level only. For the former, we have recorded the official election results for all parties with more than 0.5% of the vote share and turnout data is included in the coding of these countries. For seat level data, we collect only the number of seats and the percentage of votes but plan to add vote level data at some later stage. The wiki page on [country coding](http://wiki.parlgov.org/wiki/CountryInfo) gives information about the level of coding. Nevertheless, we have now included information on turnout for all EP elections. ",2010-05-22,33
108,Portugal with votes level data,hd,63,We have finished updating the Portugal data in ParlGov and coded all parties with more than 0.5% vote share and their official election results for national and EP elections.,2010-05-23,34
107,Hungarian election results and Orban cabinet,hd,39,We have added the results of the Hungarian parliamentary election that took place in April and the new Orban II government that took office last week.,2010-06-03,35
107,UK election results and Cameron coalition,hd,44,The final results of the recent UK election became only available when the results of the delayed election in the district of Thirsk and Malton were announced. We have added the election results and the new Cameron cabinet into ParlGov.,2010-06-04,36
115,RSS news feed and Django upgrade,hd,,"The ParlGov website is programmed in Django and we have upgraded to the latest version of the framework. With this upgrade, an [RSS feed](http://dev.parlgov.org/rss/news) for the news entries is now available.",2010-06-06,37
107,Japan with new government,hd,5,The new Japanese Prime Minister Naoto Kan was elected in both chambers of the parliament last Friday and ministers of the Kan government were appointed on Tuesday. The new cabinet is now included into ParlGov.,2010-06-10,38
107,Czech Republic election results,hd,68,We have added the results of the recent election to the Chamber of Deputies in the Czech Republic. The new centre-right coalition is expected to take office at the beginning of July.,2010-06-21,39
107,new Finnish prime minister,hd,67,"Today, Mari Kiviniemi was elected in parliament as prime minister of Finland. The new cabinet includes the same coalition partners as the previous cabinet. The former PM Matti Vanhanen announced his resignation last Friday.",2010-06-22,40
107,Australia with a new prime minister,hd,33,Kevin Rudd was replaced by Julia Gillard today in a surprise move by the Labor party and a new cabinet formed.,2010-06-24,41
107,Dutch election added,hd,8,"On June 9 2010 an election took place in the Netherlands. We have now added the official results of this elections into ParlGov. The new cabinet has yet to be formed or needs to pass an investiture vote. Once the cabinet has been appointed, we add it as well and leave a short note in this news section.",2010-07-04,42
107,Czech cabinet appointed,hd,68,The new Czech cabinet was appointed today.,2010-07-13,43
115,ParlGov and EUDO cooperation,hd,,"Recently, we have started a cooperation with the EUI based [European Union Democracy Observatory (EUDO)](http://www.eui.eu/Projects/EUDO/Home.aspx) and we will distribute the most recent stable version of ParlGov in the new [EUDO Data Centre](http://www.eui.eu/Projects/EUDO/EUDODataCentre.aspx).",2010-07-23,44
110,ParlGov II -- release plan,hd,,"We have started to push our work on the next stable version of ParlGov and aim to have a beta version by the end of the month. This new version includes two major changes: a **new webdesign** and a **database refactoring**. In addition, it includes recent political events and some data revisions. The [changelog](http://wiki.parlgov.org/wiki/ChangeLog) in the ParlGov Development wiki lists all data updates. We also aim at fixing all [tickets](http://wiki.parlgov.org/query?status=accepted&status=assigned&status=new&status=reopened&order=priority&priority=high&col=id&col=summary&col=milestone&col=priority&col=status&col=owner&col=reporter&milestone=1.1) that are assigned to 'milestone 1.1' and have priority 'high'.

The final release of the second stable version of ParlGov is scheduled for the end of September. We will post a second news entry to describe the new webdesign and the causes for the database refactoring.  ",2010-08-02,45
113,Research paper published,hd,,"During his year as a Max Weber Fellow, Holger has written a paper about the more general idea behind ParlGov, shortcomings of contemporary data sets and the future of collaborative data collection in political science. The paper was recently published as [EUI Working Paper MWP 2010/21](http://hdl.handle.net/1814/14380).",2010-08-11,46
107,Swiss cabinets added,hd,40,We have added all Swiss cabinets into ParlGov. Determining a cabinet for Switzerland according to the [four criteria](http://wiki.parlgov.org/wiki/DocCabinet#Cabinetdefinition) defining a cabinet was a little difficult. We decided not to code a prime minister in the case of Switzerland so that we have one cabinet for every legislative term that ends with an election.,2010-08-31,47
115,ParlGov II -- new web design,hd,,"The next version of ParlGov will include a new web design and we have worked with Jens Hoffmeister from [underline webdesign](http://webdesign-underline.de/) over the last months to give our website a fresh look. Here is an [example](http://www.parlgov.org/misc/parlgov-new.html) of the new design.

The old design with the current layout, logo and colors has not changed over the last five years and there were only some improvements to the navigation. Honestly, it was in strong need of a fresh look. Jens has created the new design by defining a modern layout, color scheme and logo based on the existing pages. The structure of the pages will remain but some of the underlying html and css code has been significantly cleaned up.

Ones we have put up online a first beta version of the next release you will see how fresh and modern the new design is.
 ",2010-09-09,48
108,Latvia with votes level data,hd,55,"We have updated, revised and extended all election results for Latvia and code now all parties with more than 0.5% of the national vote share. Previously, we found some mistakes in the Latvian election results and decided to add all official results. ",2010-09-19,49
109,ParlGov II -- database refactoring,hd,,"The second major change for the next ParlGov version will be a major refactoring of our database design. The causes for the need to refactor the structure of our database are similar to the previously described plans to relaunch the web design. Some of the fundamental design decisions were made at the early stages of the project and limit its growth now. Over time, our experience and technical expertise has grown and we are convinced that the benefits of a redesign outweigh the (transformation) costs.

Most fundamental will be the overhaul of all IDs. In the next version or ParlGov, there will be newly defined identifiers for all observations, most importantly for countries, parties, elections and cabinets. Previously, we had unique identifiers per country only and some of the ID variables were based on other observations and contained meaningful information. We will change that to a system of IDs were all identifiers are unique for every variable and are just numerical identifiers without containing other information. In database terminology, we are moving from a system of composite (natural) primary keys to (surrogate) primary keys.

There will also be a clean-up for some table and variable names and the new names are often more explicit than the previously used shortened versions.  In addition, we are changing from camel case VariableNames to underscore variable_names. Finally, there are some updates on the table structure.

These modifications require users of ParlGov to  update the scripts they have written to work with ParlGov data. We are convinced that it will be for the better. The new database design is easier to understand and allows us to integrate innovative aspects into future versions more easily.
",2010-09-28,50
107,Sweden election results and government added,hd,35,"Yesterday (5 October) was an interesting day for students of cabinet formation. The Swedish prime minister presented his new minority cabinet after failing to enlarge his coalition. In the Netherlands, the Christian Democrats party group approved the formation of a new and highly controversial minority government supported by Geert Wilders Freedom Party. In Belgium, coalition talks on government formation have collapsed on the same day.

We have included the results of the recent elections in Sweden and the new cabinet. We will add the new Dutch government as soon as it is appointed.

",2010-10-06,51
107,Australian election results and new government,hd,33,"It takes some time until the final result of an election is determined in Australia, due to the complexity of the electoral system. The election took place in August and a dramatic process of government formation followed. Nevertheless, the official election results have only been presented recently.

We have added the Australian election and the new minority cabinet to ParlGov.",2010-10-08,52
108,Belgium with votes level data,hd,64,"Today (12 October), we finished adding all votes level data for Belgium. For the country, there is a good [official source](http://www.ibzdgip.fgov.be/result/selectlanguage.php) with the results of all national and European Parliament elections and most of our updated information is from this source. Nevertheless, coding the Belgium parties is always a challenge especially for the 1970s. We did our best to link all existing parties. Nevertheless some enhancements may be suggested by country experts later on.

With ""votes level data"" we cover all parties that gained more than 0.5 percentage of the votes in post-war national and EP elections. It is our long term goal to move from ""seats level data"" to ""votes level data"" for all OECD/EU countries in the post-war period.  Only the latter level allows to use ParlGov as a device for research and teaching about electoral systems.",2010-10-12,53
107,Dutch government added,hd,8,The new Dutch minority cabinet was appointed today and we have added it to ParlGov.,2010-10-14,54
115,ZeS is ParlGov's new home institution,hd,,"We have moved to another university and are now based at the [Centre for Social Policy Research (ZeS)](http://www.zes.uni-bremen.de/), University of Bremen.

For ParlGov, our time at the [European University Institute (EUI)](http://www.eui.eu/) and the [University of Heidelberg](http://www.uni-heidelberg.de/index_e.html) has been very productive. It was the academic year when we released the first public version of the projects and both institutions have provided significant support in finding out how ParlGov is received.

We keep a connection to the [EUI](http://www.eui.eu/) through our cooperation with the [EUDO Data Centre](http://dvn.eudo.eu/) project.
",2010-11-03,55
115,New web design and refactored database launched,hd,,"We have just put online the implementation of our new web design and the refactored database schema.

Implementing the **new design**, developed by Jens Hoffmeister from [underline webdesign](http://www.webdesign-underline.de/), has kept us busy for the last three months. In addition to applying the new layout, we have used the opportunity to significantly clean up the structure of our html templates. The web design has already been very well received by some of our colleagues who gave their views on the new layout. The structure of the page remains more or less the same. However most links have changed and we are making now use of more explicit naming conventions to define our URLs.

Converting the old **database** structure into the new schema has been an even bigger challenge. While working with the first release, we realised that many of the table and variable names were not explicit enough. In addition, we had planned to redesign some of the table structures and revise table and variable names.  There is an [earlier news](#50) entry that gives the bigger perspective on the changes to the database. *Please remember, most IDs, table names and variable names have changed in the new version.*

The **next release, ParlGov 10/11,** will follow shortly. The plan is to have a beta version out tomorrow or the day after. We will test the beta version and the new development version for some days and plan to have a release of the new version at the beginning of next week.
",2010-11-08,56
110,Beta version ParlGov 10/11 online,hd,,"A [beta version](http://www.parlgov.org/beta) of the next stable release, ParlGov 10/11 – Autumn 2010, is now available online. We will test and may update it over the next days and plan to release the next stable version at the beginning of next week.",2010-11-10,57
114,EES party ids added,hd,,"We have added the [party codes](http://dev.parlgov.org/documentation/table/external_party_ees/) of the *European Parliament Election Study 2009, Voter Study, Advance Release, 30/06/2010.* to our main [party table](http://dev.parlgov.org/documentation/table/view_party/). Here is an example of the [Swedish parties](http://dev.parlgov.org/data/swe/external_ees/). The original data set is available at the website of the [PIREDEU project](http://www.piredeu.eu/).

Integrating EES party ids allows us to combine this information with all other data sets that are linked through our party table. One of the goals was it to establish an interface between [EES](http://dev.parlgov.org/documentation/table/external_party_ees/) and [EUProfiler](http://dev.parlgov.org/documentation/table/external_party_euprofiler/) party ids.

This information will also be part of the next stable release.",2010-11-14,58
107,Latvian election and cabinet added,hd,55,Results of the recent [election](http://dev.parlgov.org/data/lva/election-parliament/2010-10-02/) in Latvia and the new [Dombrovskis cabinet](http://dev.parlgov.org/data/lva/cabinet-party/2010-11-03/) have been added.,2010-11-15,59
110,ParlGov 10/11 online -- second stable release,hd,,"Today, we have put online the second stable release of our project, [ParlGov 10/11](http://www.parlgov.org/stable). There is an [earlier news entry](http://dev.parlgov.org/documentation/news/#56) that gives a summary of the changes that come with this new version and the [changelog](http://wiki.parlgov.org/wiki/ChangeLog#Version1011) provides a very detailed list of all changes. Most significant for users of previous versions is the change of all id variables as well as most table and variable names. Again, these changes turn ParlGov into a significantly cleaner data structure.

More information about the plans and schedule for the next version will follow in a separate news post.",2010-11-16,60
111,EUDO conference,hd,,"We are cooperating with the  [European Union Democracy Observatory (EUDO)](http://www.eui.eu/Projects/EUDO/Home.aspx). One of the core projects of EUDO is setting up the [EUDO Data Centre](http://www.eui.eu/Projects/EUDO/EUDODataCentre.aspx) which will also host the ParlGov data. There are many advantages of making use of the Dataverse software to distribute data sets.

Over the past months, we have supported the EUDO Data Centre team and last week's EUDO Dissemination Conference in Brussels was the place to present the current state of the data centre. Lorenzo de Sio (EUI) gave a longer presentation about the EUDO Data Centre and we summarized our experience from working with the EUDO team.

We will post a separate news entry about the promises of distributing ParlGov data through the EUDO Data Centre later on.",2010-11-24,61
111,IHS Vienna talk,hd,,"On Tuesday, we gave a [public lecture](http://www.ihs.ac.at/vienna/resources/organizer/en_lecture_doering.pdf) about ParlGov and one of the projects that it originated from at the [Institute for Advanced Studies (IHS)](http://www.ihs.ac.at/vienna/) in Vienna. In the discussion following the presentation, we have received many valuable comments, feedback and encouragement. Many thanks to Johannes Pollak and Guido Tiemann for inviting and welcoming us at the IHS.",2010-12-09,62
111,Mannheim presentation,hd,,"Another Tuesday presentation: Yesterday, we gave a presentation about ParlGov and our ideas on the future of collaborative data collection at the conference ""Quantifying Europe"" in Mannheim (Collaborative Research Center SFB 884 'Political Economy of Reforms' and Mannheim Center for European Social Research [MZES]). It was the first talk that focussed almost exclusively on ParlGov and we discussed potential applications of ParlGov to map political actors in the European Union. We have to thank the organisers and conference participants for very insightful discussions.",2010-12-15,63
107,France Fillon III cabinet added,hd,43,"We have also added the recently formed [French cabinet](http://dev.parlgov.org/data/fra/cabinet-party/2010-11-14/) that had previously resigned. The cabinet stepped down to allow President Sarkozy to appoint a new reshuffled cabinet.

Adding this cabinet was a little delayed by the recent stable release. Most of the new observations are added within a week after an event took place or the official information (election statistics) are available.",2010-12-18,64
108,Austria with votes level data,hd,59,We have now added the official election results for Austria and coded all parties with more than 0.5% vote share in national or EP elections. The party system has been rather stable over the last decades so that we had to add only a few new parties.,2011-02-12,66
115,ParlGov on Twitter,hd,,"We have started to be on Twitter -- [twitter.com/ParlGov](http://twitter.com/#!/ParlGov). These tweets will be a more informal supplement to the [news section](http://dev.parlgov.org/documentation/news/) and hopefully help us to better track the political events we include into ParlGov. It shall give all users a better understanding about the events we follow and about changes to the webpage we apply. Hopefully it will also encourage others to make us aware of events that should be included.
",2011-03-07,67
107,Irish election and Kenny government,hd,37,We added the results of the February [elections](http://dev.parlgov.org/data/irl/election-parliament/2011-02-25/) in Ireland and the new [coalition](http://dev.parlgov.org/data/irl/cabinet-party/2011-03-09/) under PM Kenny. We used the [data from RTÉ](http://www.rte.ie/news/election2011/results/index.html) and may update them once the official results are available.,2011-03-18,68
107,Estonia election and cabinet added,hd,75,Results of the recent [elections in Estonia](http://dev.parlgov.org/data/est/election-parliament/2011-03-06) and the new [Ansip government](http://dev.parlgov.org/data/est/cabinet-party/2011-04-05) have been added.,2011-04-10,69
111,Data infrastructures talk in St. Gallen,hd,,"We gave a presentation about our ideas of new data infrastructures in comparative politics at the [ECPR Joint Session](http://www.ecprnet.eu/joint_sessions/) in St. Gallen at the workshop on [Ministerial turnover and ministerial career paths in contemporary democracies](http://www.ecprnet.eu/joint_sessions/st_gallen/workshop_details.asp?workshopID=6). The workshop was organised by members of [SEDEPE](http://sedepe.net/), a network studying and collecting data on political careers. In the presentation we also summarised our experience from setting up the ParlGov project, its successes and its failures. Following several discussions over the conference some cooperation between SEDEPE and ParlGov is going to emerge over the coming months. Many thanks to Hanna Bäck (Mannheim), Luca Verzichelli (Siena) and Patrick Dumont (Luxembourg) for inviting us!",2011-04-19,70
107,Slovenia change in cabinet composition,hd,60,We have now added a new [Pahor cabinet](http://dev.parlgov.org/data/svn/cabinet-party/2011-05-19/) following a change in the party composition on 19 May when the last DeSUS minister withdrew from the party. The party previously decided to leave the cabinet.,2011-06-07,71
107,Cyprus election added,hd,51,We have added the results of the recent [election](http://dev.parlgov.org/data/cyp/election-parliament/2011-05-22/) in Cyprus. The new [cabinet](http://dev.parlgov.org/data/cyp/cabinet-party/2011-05-22/) is derived from our coding rules and no new cabinet formation process has taken place.,2011-06-13,72
107,Slovenia - another cabinet composition change,hd,60,"There has been another change in the party composition of the Slovenian government when Zares ministers resigned on 27 June. We have added this change by recoding the start date of the [Pahor II](http://dev.parlgov.org/data/svn/cabinet-party/2011-06-27/) cabinet.

This particular recoding highlights one of the cabinet coding rules we have developed. Cabinet terminations as defined by political scientists (election, change party or pm, cabinet resignation) are sometimes followed by additional events that would define a new cabinet.  This may lead to defining some rather short lived (mostly technical) cabinets. We deal with the issue through a ‘three month rule’ and code continuation governments only if they last for more than three month. The [cabinet documentation](http://wiki.parlgov.org/wiki/DocCabinet) gives some more detailed information and examples.
",2011-06-28,73
107,Portugal election and cabinet added,tf,63,We have added the results of the recent [snap election](http://dev.parlgov.org/data/prt/election-parliament/2011-06-05/?sources=true) and the resulting new [Passos Coelho cabinet](http://dev.parlgov.org/data/prt/cabinet-party/2011-06-15/) in Portugal. The election followed the resignation of PM Socrates on 23 March after parliament rejected an austerity budget.,2011-06-29,74
107,Finland election and cabinet added,hd,67,We have added the results of the April [election](http://dev.parlgov.org/data/fin/election-parliament/2011-04-17/) in Finland and the new [cabinet](http://dev.parlgov.org/data/fin/cabinet-party/2011-06-22/) under PM Katainen.,2011-06-30,75
108,Cyprus with votes level data,tf,51,We have updated all [election results](http://dev.parlgov.org/data/cyp/election-parliament/) for Cyprus and coded all parties with more than 0.5% of the vote share in national and EP elections.,2011-07-05,76
108,Poland with votes level data,tf,74,"We have finally updated and checked all [election results](http://dev.parlgov.org/data/pol/election-parliament/) for Poland and coded all [parties](http://dev.parlgov.org/data/pol/party/) with more than 0.5% of the vote share in national and EP elections. This has led to a significant extension and partial revision of the party codings due to the volatility of the Polish party system over the last two decades. We have tried to include all relevant information about electoral alliances and links between parties. Nevertheless, the coding of alliances and party changes may need an external validation by another country expert in the future.

Upgrading the Polish election results would not have been possible without the expertise and diligent work of Paweł Szczerbak (University of Heidelberg). ",2011-07-12,77
107,Japan elections and cabinets added (1945 to 1958) – next stable preparations,tf,5,"We have added [election results](http://dev.parlgov.org/data/jpn/election-parliament/) and [cabinets](http://dev.parlgov.org/data/jpn/cabinet-party/) from 1945 to 1958 for Japan.

Furthermore, we are preparing a new stable version, ParlGov 11/07, and plan to release it at the end of this week. Follow [ParlGov on Twitter](http://twitter.com/#!/ParlGov) for more detailed updates.
",2011-07-25,78
110,ParlGov 11/07 released,hd,,"We have now released ParlGov 11/07 (26 July 2011), the third major stable release of the ParlGov project. There have been no changes to the release candidate we put online a couple of days ago. ParlGov 11/07 includes all elections and cabinets until the mid of July for the countries we cover. In this version we have added elections and cabinets in Japan from 1945 to 1958 and updated Austria, Cyprus, Poland from seats to votes level data. Finally, there has been a number of smaller updates and corrections that are listed in the [changelog](http://wiki.parlgov.org/wiki/ChangeLog#Version1107).",2011-07-31,79
107,Cyprus with new cabinet,tf,51,"We have added the new [cabinet](http://dev.parlgov.org/data/cyp/cabinet-party/2011-08-05/) under President Christofias. The reshuffle became necessary after ministers of the junior coalition partner DIKO quit.
When updating the previous cabinet, we realized that the termination date of cabinet [Christofias I](http://dev.parlgov.org/data/cyp/cabinet-party/2008-02-28/) has to be recoded. We split the former cabinet into Christofias I and [Christofias II](http://dev.parlgov.org/data/cyp/cabinet-party/2010-03-02/).

",2011-08-24,80
112,ParlGov 11/07 added to EUDO Data Centre,hd,,"We have now added the most recent release of ParlGov to the [EUDO Data Centre](http://dvn.eudo.eu/dvn/dv/parlgov/faces/study/StudyPage.xhtml?studyId=19). In the data centre, you can download the main ParlGov tables (parties, elections, cabinets) and a documentation of these tables. The three main data sets are available in various formats (Stata, SPSS, R), are labelled and can be analysed online in the data centre.

A short technical note: The data sets offered in the data centre are derived from information that is available in the stable version. We automatically generate a couple of scripts to label the three main data tables with information from the documentation tables.",2011-08-31,81
107,Japan new cabinet added,tf/hd,5,We have added the [new Japanese cabinet](http://dev.parlgov.org/data/jpn/cabinet-party/2011-08-30/) under PM Noda. He follows [PM Kan](http://dev.parlgov.org/data/jpn/cabinet-party/2010-06-04/) who resigned after widespread criticism over his handling of  the tsunami and  Fukushima power plant crisis.,2011-09-23,82
107,Canada election results updated,tf/hd,29,"We have now updated the results of the [May election](http://dev.parlgov.org/data/can/election-parliament/2011-05-02/) with
an [official source](http://www.elections.ca/home.aspx). In this context we have also updated the previous [election 2008](http://dev.parlgov.org/data/can/election-parliament/2008-10-14/) and the corresponding  cabinets [Harper II](http://dev.parlgov.org/data/can/cabinet-party/2008-10-30/?sources=true) and [Harper III](http://dev.parlgov.org/data/can/cabinet-party/2011-05-02/). ",2011-09-25,83
107,Denmark election and cabinet added,tf/hd,21,We have added the results of the recent [Danish election](http://dev.parlgov.org/data/dnk/election-parliament/2011-09-15/) and the [new cabinet](http://dev.parlgov.org/data/dnk/cabinet-party/2011-10-02/) under PM Thorning-Schmidt.,2011-10-07,84
107,Latvia election and cabinet added,tf,55,We have added the results of the September [election](http://dev.parlgov.org/data/lva/election-parliament/2011-09-17/) in Latvia and the [new cabinet](http://dev.parlgov.org/data/lva/cabinet-party/2011-10-25/) under PM Dombrovskis. In this context we have updated the [previous election in 2010](http://dev.parlgov.org/data/lva/election-parliament/2010-10-02/).,2011-10-28,85
107,Slovakia caretaker government added,tf,1,We have added the fall of the [Radičová I](http://dev.parlgov.org/data/svk/cabinet-party/2010-07-08/) government and added the succeeding caretaker government [Radičová II](http://dev.parlgov.org/data/svk/cabinet-party/2011-10-20/). The cabinet Radičová I lost a confidence vote and became a caretaker government without a formal resignation. Following our [coding rules](http://wiki.parlgov.org/wiki/DocCabinet?version=52) we coded it as an equivalent to a substantively meaningful resignation due to a change into a caretaker cabinet.,2011-11-23,86
107,Greece interim cabinet added,hd,41,We have added the recently formed caretaker cabinet in [Greece](http://dev.parlgov.org/data/grc/cabinet-party/2011-11-11/).,2011-12-14,87
107,Poland election and cabinet added,hd,74,"Recently, we added the [election in Poland](http://dev.parlgov.org/data/pol/election-parliament/2011-10-09/) and the second [Tusk cabinet](http://dev.parlgov.org/data/pol/cabinet-party/2011-11-18/).",2012-01-06,88
