id,country,family,name_short,name_english,name,name_ascii,name_nonlatin,wikipedia,foundation_date,dissolution_date,data_source,description,comment,data_json
53,56,14,Sfvm,Union of Liberals and Leftist,Samtök frjálslyndra og vinstri manna,Samtok frjalslyndra og vinstri manna,,http://en.wikipedia.org/wiki/Union_of_Liberals_and_Leftists,1969-07-01,,,Party split from People's Alliance (Ab) after it turned from an electoral alliance into a party. It included former members of the National Preservation Party (Thva) and Hannibal Valdimarsson from the Social Democratic Party.,,
55,26,11,LT,List for Trieste,Lista per Trieste,Lista per Trieste,,http://en.wikipedia.org/wiki/List_for_Trieste,1978-07-01,2006-07-01,,New party formed in 1978. ,,
57,10,26,DSB|DB,Democrats for a Strong Bulgaria | Democratic Bulgaria,Demokrati za Silna Balgariya | Demokratichna Balgariya,Demokrati za Silna Balgariya | Demokratichna Balgariya,Демократи за силна България | Демократична България,http://en.wikipedia.org/wiki/Democrats_for_a_Strong_Bulgaria,2004-05-30,,,"Party Democrats for a Strong Bulgaria (DSB) formed on 30 May 2004 by Ivan Kostov as a split of the Union of Democratic Forces (SDS).
DSB formed an electoral alliance Democratic Bulgaria (DB) on 12 April 2018 with Yes, Bulgaria! (DaB) and a parliamentary group after 2021 elections.",,
58,15,12,none,no party affiliation,no party affiliation,no party affiliation,,,,,,,,null
59,43,26,IR|DL,Independent Republicans | Liberal Democracy,Independants républicains | Démocratie libérale,Independants republicains | Democratie liberale,,http://en.wikipedia.org/wiki/Independent_Republicans,1962-07-01,,,,,
61,34,6,O,Courage,Ometz,Ometz,אומץ‎,http://en.wikipedia.org/wiki/Ometz_%28political_party%29,1981-07-01,,,,,
62,27,3,UCDCC,Union of Centre and Christian Democracy of Catalonia,Unió del Centre i la Democràcia Cristiana de Catalunya,Unio del Centre i la Democracia Cristiana de Catalunya,,http://es.wikipedia.org/wiki/Uni%C3%B3_del_Centre_i_de_la_Democr%C3%A0cia_Cristiana_de_Catalunya,,,,,,
63,64,6,LP-PL,Liberal Party,Liberale Partij – Parti libéral,Liberale Partij -- Parti liberal,,http://en.wikipedia.org/wiki/Liberal_Party_%28Belgium%29,,,,,,
64,1,11,SDA,Social Democratic Alternative,Sociálnodemokratická alternatíva,Socialnodemokraticka alternativa,,http://en.wikipedia.org/wiki/Social_Democratic_Alternative,2002-01-31,2005-01-01,,,,
65,60,16,Mad,Hungarian national community,Madžarska narodna skupnost,Madzarska narodna skupnost,,,,,,,,
66,67,16,AS,Aland Coalition,Åländsk Samling,Alandsk Samling,,http://en.wikipedia.org/wiki/%C3%85land_Coalition,1948-07-01,,,Electoral alliance formed for 1948 election.,,
67,26,26,CeD,Centre Right,Centro-destra,Centro-destra,,https://en.wikipedia.org/wiki/Centre-right_coalition,,,,,"Proxy party for centre right alliances that have formed since the 1990s.
","{""proxy_party"": true}"
73,27,16,ARM,Ruiz-Mateos List,Agrupación Ruiz-Mateos,Agrupacion Ruiz-Mateos,,http://es.wikipedia.org/wiki/Agrupaci%C3%B3n_Ruiz-Mateos,1989-08-30,,,New party formed on 30 August 1989. ,"Van der Eijk and Franklin 1999, p. 469",
74,21,11,Si,Forward (Greenland),Siumut,Siumut,,http://en.wikipedia.org/wiki/Siumut,1977-07-29,,,New party formed on 29 July 1977.,,
77,68,11,DZJ,Pensioners for a Secure Living,Důchodci za životní jistoty,Duchodci za zivotni jistoty,,,1990-03-01,,buga,New party movement formed in March 1990 and transformed into a party in 1994.,,
81,9,14,SV,Socialist Left Party,Sosialistisk Venstreparti,Sosialistisk Venstreparti,,http://en.wikipedia.org/wiki/Sosialistisk_Venstreparti,1975-03-16,,,"Party formed on 16 March 1975 as a merger of the Communist Party of Norway (NKP), Socialist People's Party (SF) and independent socialists. ",,
82,63,16,PSN,National Solidarity Party,Partido da Solidariedade Nacional,Partido da Solidariedade Nacional,,https://en.wikipedia.org/wiki/National_Solidarity_Party_(Portugal),1991-07-01,,,New party registered on 13 March 1991.,,
86,5,11,SDF,Socialist Democratic Federation,Shaminren,Shaminren,社会民主連合,http://en.wikipedia.org/wiki/Socialist_Democratic_Federation_%28Japan%29,1978-03-26,,,,,
87,8,26,MP,Middle Party,Midden Partij,Midden Partij,,http://en.wikipedia.org/wiki/Nederlandse_Middenstandspartij,1970-07-01,,,New party formed in 1970.,,
90,62,6,LIBRA,Party of Liberal Democrats,LIBRA – Stranka liberalnih demokrata,LIBRA -- Stranka liberalnih demokrata,,https://en.wikipedia.org/wiki/Party_of_Liberal_Democrats,2002-09-21,,,Party formed on 21 September 2002.,,
92,37,26,CnP,Republican Party,Clann na Poblachta,Clann na Poblachta,,http://en.wikipedia.org/wiki/Clann_na_Poblachta,,,,New party formed in 1946.,,
93,26,6,PRI,Republican Party,Partito Repubblicano Italiano,Partito Repubblicano Italiano,,http://en.wikipedia.org/wiki/Italian_Republican_Party,,,,,,
94,67,2,KESK,Centre Party,Keskusta,Keskusta,,http://en.wikipedia.org/wiki/Centre_Party_%28Finland%29,,,,,,
95,39,40,MIEP,Hungarian Justice and Life Party,Magyar Igazság és Élet Pártja,Magyar Igazsag es Elet Partja,,http://en.wikipedia.org/wiki/Hungarian_Justice_and_Life_Party,1993-07-01,,,,,
99,26,3,CCD,Christian Democratic Centre,Centro Cristiano Democratico,Centro Cristiano Democratico,,http://en.wikipedia.org/wiki/Christian_Democratic_Centre,1994-01-18,,,,,
104,9,11,DNA,Norwegian Labour Party,Det norske Arbeiderparti,Det norske Arbeiderparti,,https://en.wikipedia.org/wiki/Labour_Party_(Norway),1887-08-22,,,New party formed on 22 August 1887.,,
106,34,26,Sh,Peace-Zion,Shlomtzion,Shlomtzion,שלומציון‎,http://en.wikipedia.org/wiki/Shlomtzion_%28political_party%29,1976-07-01,,,,,
107,63,26,PPM,Popular Monarchist Party,Partido Popular Monárquico,Partido Popular Monarquico,,http://en.wikipedia.org/wiki/People%27s_Monarchist_Party_%28Portugal%29,1979-05-23,,,New party formed on 23 May 1974.,,
108,74,11,S,Solidarnosc,Solidarność,Solidarnosc,,http://en.wikipedia.org/wiki/Solidarity_(Polish_trade_union),1980-09-01,,,,,
109,74,16,KPEiR,National Party of Pensioners and Retired,Krajowa Partia Emerytów i Rencistów,Krajowa Partia Emerytow i Rencistow,,http://pl.wikipedia.org/wiki/Krajowa_Partia_Emeryt%C3%B3w_i_Rencist%C3%B3w,1994-06-05,,,New party formed on 5 June 1994. ,,
110,20,40,MDP,Nationalist Democratic Party,Milliyetçi Demokrasi Partisi,Milliyetci Demokrasi Partisi,,http://en.wikipedia.org/wiki/Nationalist_Democracy_Party,1983-05-16,,,Party was dissolved on 4 May 1986.,,
112,8,16,AOV|VSP,General Senior Union | United Seniors Party,Algemeen Ouderen Verbond | Verenigde Senioren Partij,Algemeen Ouderen Verbond | Verenigde Senioren Partij,,http://en.wikipedia.org/wiki/Algemeen_Ouderen_Verbond,1993-12-01,,,New party formed on 1 December 1993.,,
113,75,6,ERe,Estonian Reform Party,Eesti Reformierakond,Eesti Reformierakond,,http://en.wikipedia.org/wiki/Eesti_Reformierakond,1994-11-18,,,"Party formed on 18 November 1994 as a split from the Pro Patria National Coalition Party. It was founded by Siim Kallas, the president of the Estonian Bank at the time.",,
114,11,16,MP,Maori Party,Māori Party,Maori Party,,http://en.wikipedia.org/wiki/M%C4%81ori_Party,2004-07-07,,,Party formed on 7 July 2004.,,
118,27,14,PCE|IU,Communist Party | United Left,Partido Communista | Izquierda Unida,Partido Communista | Izquierda Unida,,http://en.wikipedia.org/wiki/United_Left_(Spain),1986-04-01,,,,,
119,64,3,CSP,Christian Social Party,Christlich Soziale Partei,Christlich Soziale Partei,,http://en.wikipedia.org/wiki/CSP-EVP,,,,,,
120,33,11,AD,Australian Democrats,Australian Democrats,Australian Democrats,,http://en.wikipedia.org/wiki/Australian_Democrats,1977-07-01,,,,,
121,27,16,IP,Left of the Peoples,Izquierda de los Pueblos,Izquierda de los Pueblos,,http://es.wikipedia.org/wiki/Izquierda_de_los_Pueblos_(1989),,,,,,
123,34,12,none,no party affiliation,no party affiliation,no party affiliation,,,,,,,,null
128,26,3,CDU,United Christian Democrats,Cristiani Democratici Uniti,Cristiani Democratici Uniti,,http://en.wikipedia.org/wiki/United_Christian_Democrats,,,,,,
131,1,3,SDKU-DS,Slovak Democratic and Christian Union -- Democratic Party,Slovenská demokratická a kresťanská únia – Demokratická strana,Slovenska demokraticka a krestanska unia -- Demokraticka strana,,http://en.wikipedia.org/wiki/Slovak_Democratic_and_Christian_Union_%E2%80%93_Democratic_Party,2000-02-18,,,Party formed on 18 February 2000 as split from Christian Democratic Movement (KDH) by PM Mikuláš Dzurinda. It was based on Slovak Democratic Coalition (SDK) alliance. ,,
133,10,12,none,no party affiliation,no party affiliation,no party affiliation,,,,,,,,null
134,56,12,none,no party affiliation,no party affiliation,no party affiliation,,,,,,,,null
135,27,6,UCD,Union of the Democratic Centre,Unión de Centro Democrático,Union de Centro Democratico,,http://en.wikipedia.org/wiki/Union_of_the_Democratic_Centre_%28Spain%29,1977-05-03,1983-02-18,,,,
137,54,3,DZ,Centre Party,Deutsche Zentrumspartei,Deutsche Zentrumspartei,,http://en.wikipedia.org/wiki/Centre_Party_%28Germany%29,1870-12-13,,,,,"{""new_party"": false}"
138,43,26,RPR,Rally for the Republic,Rassemblement pour la république,Rassemblement pour la republique,,http://en.wikipedia.org/wiki/Rassemblement_pour_la_R%C3%A9publique,,,,,,
139,67,26,SKYP,Finnish People's Unity Party,Suomen kansan yhtenäisyyden puolueen – Finlands folks enhetsparti,Suomen kansan yhtenaisyyden puolueen -- Finlands folks enhetsparti,,http://en.wikipedia.org/wiki/Party_of_the_Unity_of_the_Finnish_People,1972-12-29,,"edu, rpfi",Most MPs from the Rural Party (SMP) formed a new parliamentary group on 17 October 1972 and the party was registered on 29 December 1972.,,
141,40,19,Grue,Greens,Grüne – Écologiste,Gruene -- Ecologiste,,http://en.wikipedia.org/wiki/Green_Party_of_Switzerland,1971-07-01,,,New party formed in 1971. ,,
142,26,3,PPI,Italian People's Party,Partito Popolare Italiano,Partito Popolare Italiano,,http://en.wikipedia.org/wiki/Italian_People%27s_Party_%281994%29,1994-01-22,,,,,
143,60,11,DS,Democratic Party,Demokratska stranka,Demokratska stranka,,http://en.wikipedia.org/wiki/Democratic_Party_of_Slovenia,,,,,,
147,56,19,KL,Women's Alliance,Kvennalistinn,Kvennalistinn,,http://en.wikipedia.org/wiki/Women%27s_List,1983-07-01,,,New party formed in 1983.,,
148,74,26,ROP,Movement for the Reconstruction of Poland,Ruch Odbudowy Polski,Ruch Odbudowy Polski,,http://en.wikipedia.org/wiki/Ruch_Odbudowy_Polski,1995-11-18,2012-06-23,,,,
151,7,14,KPL,Communist Party of Luxembourg,Kommunistesch Partei Lëtzebuerg,Kommunistesch Partei Letzebuerg,,http://en.wikipedia.org/wiki/Communist_Party_of_Luxembourg,1921-01-02,,,New party formed on 2 January 1921. ,,"{""name_language"": [""French: Parti Communiste Luxembourgeois"", ""German: Kommunistische Partei Luxemburg""]}"
152,23,28,GDC,Democratic Group of the Centre,Grupul Democrat de Centru,Grupul Democrat de Centru,,,,,,,,null
154,33,6,LNPQ,Liberal National Party of Queensland,Liberal National Party of Queensland,Liberal National Party of Queensland,,http://en.wikipedia.org/wiki/Liberal_National_Party_of_Queensland,2008-07-26,,,,,
156,37,11,NL,National Labour Party,National Labour Party,National Labour Party,,http://en.wikipedia.org/wiki/National_Labour_Party_(Ireland),,,,,,null
161,64,19,Ecolo,Confederated ecologists for the organisation of original struggles,Écologistes Confédérés pour l'organisation de luttes originales,Ecologistes Confederes pour l'organisation de luttes originales,,http://en.wikipedia.org/wiki/Ecolo,,,,,,
163,5,11,DRP,Democratic Reform Party,Min-kai-ren,Min-kai-ren,民主改革連合,http://ja.wikipedia.org/wiki/%E6%B0%91%E4%B8%BB%E6%94%B9%E9%9D%A9%E9%80%A3%E5%90%88,1989-07-01,1998-04-27,kyodo,New party formed in 1989. ,,
167,64,11,BSP-PSB,Belgian Socialist Party,Belgische Socialistische Partij – Parti Socialiste Belge,Belgische Socialistische Partij -- Parti Socialiste Belge,,http://en.wikipedia.org/wiki/Belgian_Socialist_Party,,,,,,
170,5,26,NLC,New Liberal Club,Shin-jiyū-kurabu,Shin jiyu karuba,新自由クラブ,http://en.wikipedia.org/wiki/New_Liberal_Club,,,,,,null
171,64,40,FN,National Front,Front National,Front National,,http://en.wikipedia.org/wiki/Front_national_(Belgium),,,,New party formed in 1895.,,
176,26,40,MSFT,Fiamma Tricolore,Fiamma Tricolore,Fiamma Tricolore,,http://en.wikipedia.org/wiki/Fiamma_Tricolore,,,,,,
177,43,11,d-gauche,other left,divers gauche,divers gauche,,,,,,,Formally no party but group of independ left MPs.,
179,60,3,SDS,Slovenian Democratic Party,Slovenska demokratska stranka,Slovenska demokratska stranka,,http://en.wikipedia.org/wiki/Social_Democratic_Party_of_Slovenia,1989-02-16,,,,Difficult to classify party family due to a change from an originally Centre-Left to a Centre-Right to a Right-Wing party.,
180,74,11,LiD,Left and Democrats,Lewica i Demokraci,Lewica i Demokraci,,http://en.wikipedia.org/wiki/Left_and_Democrats,,,,,,
181,74,40,X,Party X,Partia X,Partia X,,http://pl.wikipedia.org/wiki/Partia_X,1991-12-10,,,New party formed on 10 December 1991. ,,
184,33,26,NCP|NPA,National (Country) Party | National Party of Australia,National (Country) Party | National Party of Australia,National (Country) Party | National Party of Australia,,http://en.wikipedia.org/wiki/National_Party_of_Australia,,,,,,
187,54,40,DRP,German Reich Party,Deutsche Reichspartei,Deutsche Reichspartei,,http://en.wikipedia.org/wiki/Deutsche_Reichspartei,1950-07-01,,,The party was founded in the year 1950 as a merger of the Deutsche Konservative Partei – Deutsche Rechtspartei and the Nationaldemokratische Partei (Hesse).,,"{""new_party"": false}"
188,34,6,LA,Independent Liberals,Libralim Atzma'im,Libralim Atzma'im,ליברלים עצמאיים‎,http://en.wikipedia.org/wiki/Independent_Liberals_%28Israel%29,1965-03-16,1984-07-01,,,,
189,21,14,VS,Left Socialists,Venstresocialisterne,Venstresocialisterne,,http://en.wikipedia.org/wiki/Left_Socialists,,,,,,
191,15,2,LVLS,Lithuanian Peasant Union,Lietuvos valstiečių sąjunga,Lietuvos valstiecic sajunga,,http://en.wikipedia.org/wiki/Lithuanian_Peasant_and_Greens_Union,2001-12-01,,,,,
196,68,19,SZ,Green Party,Strana zelených,Strana zelenych,,http://en.wikipedia.org/wiki/Green_Party_(Czech_Republic),1989-12-09,,,New party formed on 9 December 1989.,,"{""date_registration"": ""1990-02-03""}"
198,39,28,HVK,Patriotic Elections Coalition,Hazafias Választási Koalíció,Hazafias Valasztasi Koalicio,,http://hu.wikipedia.org/wiki/Hazafias_N%C3%A9pfront#Megsz.C5.B1n.C3.A9se,,,,,,
199,60,16,Ita,Italian national community,Italijanska narodna skupnost,Italijanska narodna skupnost,,,,,,,,
200,67,2,SP|P,Finnish Party | True Finns,Suomen Puolue | Perussuomalaiset,Suomen Puolue | Perussuomalaiset,,https://en.wikipedia.org/wiki/Finns_Party,,,pc,,"""Suomen maaseudun puolue' (SMP) and 'Perussuomalaiset' (PS) are technically and legally two different parties. PS was established when SMP went bankrupt. But most of the persons working in SMP continued to work in PS. (...) In actual analysis most Finnish political scientists tend to handle them as same parties."" (Mikko Mattila, University of Helsinki; personal communication, October 2009)",
202,7,16,Z-EF,Coerced Conscripts,Zwangsrekrutéierten,Zwangsrekruteierten,,http://en.wikipedia.org/wiki/Enr%C3%B4l%C3%A9s_de_Force,1979-07-01,,,New party formed for 1979 election.,,"{""name_language"": [""French: Enr\u00f4l\u00e9s de Force"", ""German: Zwangsrekruten""]}"
203,55,40,TB,For Fatherland and Freedom,Tēvzemei un Brīvībai,Tevzemei un Brivibai,,http://en.wikipedia.org/wiki/Tevzemei_un_Brivibai,1993-02-01,,,New party formed on 1 February 1993,,
205,56,11,Th-Ff,People's Movement,Þjóðvaki – Fylking fólksins,Thjodvaki -- Fylking folksins,,http://en.wikipedia.org/wiki/Awakening_of_the_Nation,,,indridason,,,
207,74,2,SRP,Self-Defense of the Republic Poland,Samoobrona Rzeczypospolitej Polskiej,Samoobrona Rzeczypospolitej Polskiej,,http://en.wikipedia.org/wiki/Self-Defence_of_the_Republic_of_Poland,1992-01-10,,,New party formed on 10 January 1992. ,,
209,8,40,CD,Centre Democrats,Centrum Democraten,Centrum Democraten,,http://en.wikipedia.org/wiki/Centrum_Democraten,,,,,,
210,56,19,Graen,Left-Green Movement,Vinstrihreyfingin – grænt framboð,Vinstrihreyfingin -- graent frambod,,http://en.wikipedia.org/wiki/Left-Green_Movement,1999-02-06,,,Party formed on 07 February 1999 as a split from the People's Alliance. ,,
211,21,6,RV,Danish Social Liberal Party,Det Radikale Venstre,Det Radikale Venstre,,http://en.wikipedia.org/wiki/Danish_Social_Liberal_Party,,,,Danish Social Liberal Party (RV) formed on 21 May 1905 as split from Liberal Party (V) over military expenditure and issues of redistribution.,,
212,8,3,RPF,Reformatory Political Federation,Reformatorische Politieke Federati,Reformatorische Politieke Federati,,http://en.wikipedia.org/wiki/Reformatory_Political_Federation,,,,,,
213,43,3,MR,Reformers Movement,Mouvement réformateur,Mouvement reformateur,,http://en.wikipedia.org/wiki/Reforming_Movement,1972-07-01,1974-07-01,,,,
214,34,40,MDL|HH,National Religious Party | The Jewish Home,Miflaga Datit Leumit (Mafdal) | Habayit Hayehudi,Miflaga Datit Leumit (Mafdal) | Habayit Hayehudi,מפלגה דתית לאומית |‎ הַבַּיִת,http://en.wikipedia.org/wiki/National_Religious_Party,1956-07-01,2008-11-18,,,,
215,33,6,CouLP,Country Liberal Party,Country Liberal Party,Country Liberal Party,,http://en.wikipedia.org/wiki/Country_Liberal_Party,1974-07-01,,,New party formed in 1974. ,,
217,72,26,PKP,Progressive Constitutionalist Party,Partit Kostituzzjonali Progressiv,Partit Kostituzzjonali Progressiv,,http://www.maltadata.com/abbrev.htm,,,no-2010,,"'Formed in October 1953 by Mabel Strickland, a former leader of the Constitutional Party.' (Mackie/Rose 1991, 313)",
219,75,19,EER,Estonian Greens,Erakond Eestimaa Rohelised,Erakond Eestimaa Rohelised,,http://en.wikipedia.org/wiki/Estonian_Greens,2006-11-25,,blt,New party formed 25 November 2006 after more than 1000 new members joined party.,"Previous Estonian Greens had less than 1000 members and did not meet the registration requirements for the 2003 election. It was absorbed into the Center Party. (see 'Who are Estonia’s Greens?' The Baltic Times,  28 March 2007)",
220,1,11,Smer,Direction -- Social Democracy,Smer – sociálna demokracia,Smer -- socialna demokracia,,http://en.wikipedia.org/wiki/Party_Direction_-_Third_Way,,,,,,
221,64,6,LD|LDD,"List Dedecker | Libertarian, Direct, Democratic","Lijst Dedecker | Libertair, Direct, Democratisch","Lijst Dedecker | Libertair, Direct, Democratisch",,"https://en.wikipedia.org/wiki/Libertair,_Direct,_Democratisch",,,, ,,
224,40,14,PSA,Autonomous Socialist Party,Partito socialista autonomo,Partito socialista autonomo,,https://en.wikipedia.org/wiki/Autonomous_Socialist_Party_(Ticino),1969-04-27,,"ejpr, his","The party was formed on 27 April 1969 (HLS).
The PSA and different socialist tendencies in the canton of Tessin formed the PSU in 1992 (EJPR 1992, 528).",,"{""new_party"": false}"
226,26,3,UC,Union / Centre,Unione / Centro,Unione / Centro,,http://en.wikipedia.org/wiki/Democrats%27_Centre_Union,2002-12-06,,,,,
228,56,11,A,Social Democratic Party,Alþýðuflokkurinn,Althyduflokkurinn,,http://en.wikipedia.org/wiki/Social_Democratic_Party_%28Iceland%29,1916-03-12,,,,,
229,67,14,Deva,Democratic Alternative,Demokraattinen Vaihtoehto – Demokratiskt Alternativs,Demokraattinen Vaihtoehto -- Demokratiskt Alternativs,,http://en.wikipedia.org/wiki/Demokraattinen_Vaihtoehto,1986-07-11,,"edu, rpfi",Registered on 11 July 1986. 10 MPs from the Democratic League (SKDL) formed a parliamentary group on 5 September 1986.,,
234,27,16,CC,Canary Coalition,Coalición Canaria,Coalicion Canaria,,http://en.wikipedia.org/wiki/Canarian_Coalition,1993-07-01,,,,,
235,8,3,CDA,Christian Democratic Appeal,Christen Democratisch Appèl,Christen Democratisch Appel,,http://en.wikipedia.org/wiki/Christian_Democratic_Appeal,1980-10-11,,jacobs,"Common list of candidates (ARP, CHU, KVP) in 1977 election and single parliamentary group (Jacobs 1989, 257). Party founded on 11 October 1980.",,
238,54,3,GVP,All-German People's Party,Gesamtdeutsche Volkspartei,Gesamtdeutsche Volkspartei,,http://en.wikipedia.org/wiki/All-German_People's_Party,1952-11-29,1957-05-18,phb,"Party was formed on 29 November 1952. Among the founding members were Gustav Heinemann, a former CDU minister of the interior, and Helene Wessel, leader of the Zentrum.
The party was dissolved at a party congress on 18/19 May 1957 and joining the SPD was recommended (Stöss 1968, 1478ff).",,
239,55,3,KDS,Christian Democratic Union,Kristīgi demokrātiskā savienība,Kristigi demokratiska savieniba,,http://en.wikipedia.org/wiki/Latvian_parliamentary_election%2C_1995,,,,,,
240,20,40,BBP,Great Union Party,Büyük Birlik Partisi,Buyuk Birlik Partisi,,http://en.wikipedia.org/wiki/Great_Union_Party,1993-01-29,,,,,
242,26,11,PSDI,Italian Democratic Socialist Party,Partito Socialista Democratico Italiano,Partito Socialista Democratico Italiano,,http://en.wikipedia.org/wiki/Italian_Democratic_Socialist_Party,1947-01-11,1998-05-10,,,,
